================================================================================
HEAD TOOL COUNTER — DEBUG PIPELINE V2
================================================================================
Video: D:\杭州供电段\头戴设备作业工具识别\01公司拍摄数据20260717\测试用\test_cut.mp4
Output: D:\PycharmProjects\head_tool_counter\debug_output\20260730_005359_06ea5fd
Git SHA: 06ea5fd
Max frames: ALL

Config loaded:
  matcher: min_good=20, min_inliers=30, min_ratio=0.3, max_reproj=3.0
  associator: max_pos=250.0, min_obs_confirm=5
  tracker: max_missed=5, min_iou=0.2, inactive_min_iou=0.3
  pipeline: l2_interval=3, min_kf_interval=5

Initializing modules...
  All modules initialized in 1.59s


================================================================================
STARTING FRAME-BY-FRAME PROCESSING
================================================================================

F0000 | QUALITY REJECT | sharpness=15.6
F0001 | QUALITY REJECT | sharpness=14.9
F0002 | QUALITY REJECT | sharpness=14.9
F0003 | QUALITY REJECT | sharpness=14.8
F0004 | QUALITY REJECT | sharpness=14.8
F0005 | QUALITY REJECT | sharpness=15.0
F0006 | QUALITY REJECT | sharpness=14.4
F0007 | QUALITY REJECT | sharpness=14.5
F0008 | QUALITY REJECT | sharpness=14.7
F0009 | QUALITY REJECT | sharpness=15.0
F0010 | QUALITY REJECT | sharpness=15.7
F0011 | QUALITY REJECT | sharpness=15.3
F0012 | QUALITY REJECT | sharpness=16.0
F0013 | QUALITY REJECT | sharpness=16.5
F0014 | QUALITY REJECT | sharpness=16.3
F0015 | QUALITY REJECT | sharpness=17.4
F0016 | QUALITY REJECT | sharpness=17.2
F0017 | QUALITY REJECT | sharpness=18.1
F0018 | QUALITY REJECT | sharpness=17.7
F0019 | QUALITY REJECT | sharpness=18.4
F0020 | QUALITY REJECT | sharpness=19.3
F0021 | QUALITY REJECT | sharpness=19.0
F0022 | QUALITY REJECT | sharpness=19.4
  (quality reject interval: 0..22, length=23)
  [KEYFRAME #0] L1=6 L3=7 fused=6 tracked=6 objects_affected=6
F0023 | ACCEPTED (first_frame) | sharp=20 L2=7 MAX_INTERVAL NEW_DET FIRST KF | 0.684s
F0027 | QUALITY REJECT | sharpness=19.4
F0028 | QUALITY REJECT | sharpness=19.4
F0029 | QUALITY REJECT | sharpness=18.7
  (quality reject interval: 27..29, length=3)
F0032 | RECOVERY | sharp=21 L2=8 NEW_DET RECOVERY: match_failed: quality thresholds not met LOST | match_err=match_failed: quality thresholds not met
F0035 | RECOVERY | sharp=22 L2=9 NEW_DET RECOVERY: match_failed: quality thresholds not met LOST | match_err=match_failed: quality thresholds not met
F0038 | RECOVERY | sharp=23 L2=8 NEW_DET RECOVERY: match_failed: quality thresholds not met LOST | match_err=match_failed: quality thresholds not met
F0041 | RECOVERY | sharp=22 L2=9 NEW_DET RECOVERY: match_failed: quality thresholds not met LOST | match_err=match_failed: quality thresholds not met
F0044 | RECOVERY | sharp=25 L2=10 NEW_DET RECOVERY: match_failed: quality thresholds not met LOST | match_err=match_failed: quality thresholds not met
F0047 | RECOVERY | sharp=27 L2=9 NEW_DET RECOVERY: match_failed: quality thresholds not met LOST | match_err=match_failed: quality thresholds not met
F0050 | RECOVERY | sharp=28 L2=11 NEW_DET RECOVERY: match_failed: quality thresholds not met LOST | match_err=match_failed: quality thresholds not met
F0053 | RECOVERY | sharp=28 L2=10 MAX_INTERVAL NEW_DET RECOVERY: match_failed: quality thresholds not met LOST | match_err=match_failed: quality thresholds not met
F0054 | RECOVERY | sharp=27 MAX_INTERVAL RECOVERY: match_failed: quality thresholds not met LOST | match_err=match_failed: quality thresholds not met
F0055 | RECOVERY | sharp=28 MAX_INTERVAL RECOVERY: match_failed: condition number too large: 115794.1 LOST | match_err=match_failed: condition number too large: 115794.1
F0056 | RECOVERY | sharp=28 L2=9 MAX_INTERVAL NEW_DET RECOVERY: match_failed: quality thresholds not met LOST | match_err=match_failed: quality thresholds not met
F0057 | RECOVERY | sharp=30 MAX_INTERVAL RECOVERY: match_failed: quality thresholds not met LOST | match_err=match_failed: quality thresholds not met
F0058 | RECOVERY | sharp=31 MAX_INTERVAL RECOVERY: match_failed: quality thresholds not met LOST | match_err=match_failed: quality thresholds not met
F0059 | RECOVERY | sharp=31 L2=13 MAX_INTERVAL NEW_DET RECOVERY: match_failed: quality thresholds not met LOST | match_err=match_failed: quality thresholds not met
F0060 | RECOVERY | sharp=39 MAX_INTERVAL RECOVERY: match_failed: condition number too large: 152019.1 LOST | match_err=match_failed: condition number too large: 152019.1
F0061 | RECOVERY | sharp=34 MAX_INTERVAL RECOVERY: match_failed: quality thresholds not met LOST | match_err=match_failed: quality thresholds not met
F0062 | RECOVERY | sharp=32 L2=11 MAX_INTERVAL NEW_DET RECOVERY: match_failed: quality thresholds not met LOST | match_err=match_failed: quality thresholds not met
F0063 | RECOVERY | sharp=32 MAX_INTERVAL RECOVERY: match_failed: quality thresholds not met LOST | match_err=match_failed: quality thresholds not met
F0064 | RECOVERY | sharp=34 MAX_INTERVAL RECOVERY: match_failed: quality thresholds not met LOST | match_err=match_failed: quality thresholds not met
F0065 | RECOVERY | sharp=34 L2=9 MAX_INTERVAL NEW_DET RECOVERY: match_failed: condition number too large: 149887.9 LOST | match_err=match_failed: condition number too large: 149887.9
F0066 | RECOVERY | sharp=35 MAX_INTERVAL RECOVERY: match_failed: quality thresholds not met LOST | match_err=match_failed: quality thresholds not met
F0067 | RECOVERY | sharp=34 MAX_INTERVAL RECOVERY: match_failed: condition number too large: 334747.4 LOST | match_err=match_failed: condition number too large: 334747.4
F0068 | RECOVERY | sharp=32 L2=10 MAX_INTERVAL NEW_DET RECOVERY: match_failed: condition number too large: 171205.5 LOST | match_err=match_failed: condition number too large: 171205.5
F0069 | RECOVERY | sharp=31 MAX_INTERVAL RECOVERY: match_failed: condition number too large: 133447.0 LOST | match_err=match_failed: condition number too large: 133447.0
F0070 | RECOVERY | sharp=31 MAX_INTERVAL RECOVERY: match_failed: quality thresholds not met LOST | match_err=match_failed: quality thresholds not met
F0071 | RECOVERY | sharp=30 L2=9 MAX_INTERVAL NEW_DET RECOVERY: match_failed: condition number too large: 423711.0 LOST | match_err=match_failed: condition number too large: 423711.0
F0072 | RECOVERY | sharp=30 MAX_INTERVAL RECOVERY: match_failed: quality thresholds not met LOST | match_err=match_failed: quality thresholds not met
F0073 | RECOVERY | sharp=28 MAX_INTERVAL RECOVERY: match_failed: quality thresholds not met LOST | match_err=match_failed: quality thresholds not met
F0074 | RECOVERY | sharp=27 L2=11 MAX_INTERVAL NEW_DET RECOVERY: match_failed: condition number too large: 128742.5 LOST | match_err=match_failed: condition number too large: 128742.5
F0075 | RECOVERY | sharp=27 MAX_INTERVAL RECOVERY: match_failed: quality thresholds not met LOST | match_err=match_failed: quality thresholds not met
F0076 | RECOVERY | sharp=27 MAX_INTERVAL RECOVERY: match_failed: quality thresholds not met LOST | match_err=match_failed: quality thresholds not met
F0077 | RECOVERY | sharp=27 L2=15 MAX_INTERVAL NEW_DET RECOVERY: match_failed: quality thresholds not met LOST | match_err=match_failed: quality thresholds not met
F0078 | RECOVERY | sharp=27 MAX_INTERVAL RECOVERY: match_failed: quality thresholds not met LOST | match_err=match_failed: quality thresholds not met
F0079 | RECOVERY | sharp=28 MAX_INTERVAL RECOVERY: match_failed: quality thresholds not met LOST | match_err=match_failed: quality thresholds not met
F0080 | RECOVERY | sharp=27 L2=14 MAX_INTERVAL NEW_DET RECOVERY: match_failed: quality thresholds not met LOST | match_err=match_failed: quality thresholds not met
F0081 | RECOVERY | sharp=28 MAX_INTERVAL RECOVERY: match_failed: quality thresholds not met LOST | match_err=match_failed: quality thresholds not met
F0082 | RECOVERY | sharp=27 MAX_INTERVAL RECOVERY: match_failed: condition number too large: 348270.1 LOST | match_err=match_failed: condition number too large: 348270.1
F0083 | RECOVERY | sharp=27 L2=14 MAX_INTERVAL NEW_DET RECOVERY: match_failed: condition number too large: 211968.0 LOST | match_err=match_failed: condition number too large: 211968.0
F0084 | RECOVERY | sharp=28 MAX_INTERVAL RECOVERY: match_failed: condition number too large: 114728.8 LOST | match_err=match_failed: condition number too large: 114728.8
F0085 | RECOVERY | sharp=28 MAX_INTERVAL RECOVERY: match_failed: condition number too large: 362525.7 LOST | match_err=match_failed: condition number too large: 362525.7
F0086 | RECOVERY | sharp=30 L2=18 MAX_INTERVAL NEW_DET RECOVERY: match_failed: condition number too large: 551122.7 LOST | match_err=match_failed: condition number too large: 551122.7
F0087 | RECOVERY | sharp=33 MAX_INTERVAL RECOVERY: match_failed: condition number too large: 188850.5 LOST | match_err=match_failed: condition number too large: 188850.5
F0088 | RECOVERY | sharp=31 MAX_INTERVAL RECOVERY: match_failed: quality thresholds not met LOST | match_err=match_failed: quality thresholds not met
F0089 | RECOVERY | sharp=30 L2=17 MAX_INTERVAL NEW_DET RECOVERY: match_failed: quality thresholds not met LOST | match_err=match_failed: quality thresholds not met
F0090 | RECOVERY | sharp=47 MAX_INTERVAL RECOVERY: match_failed: condition number too large: 135394.1 LOST | match_err=match_failed: condition number too large: 135394.1
F0091 | RECOVERY | sharp=42 MAX_INTERVAL RECOVERY: match_failed: condition number too large: 494172.1 LOST | match_err=match_failed: condition number too large: 494172.1
F0092 | RECOVERY | sharp=41 L2=19 MAX_INTERVAL NEW_DET RECOVERY: match_failed: condition number too large: 554561.3 LOST | match_err=match_failed: condition number too large: 554561.3
F0093 | RECOVERY | sharp=39 MAX_INTERVAL RECOVERY: match_failed: condition number too large: 538262.2 LOST | match_err=match_failed: condition number too large: 538262.2
F0094 | RECOVERY | sharp=38 MAX_INTERVAL RECOVERY: match_failed: condition number too large: 579902.7 LOST | match_err=match_failed: condition number too large: 579902.7
F0095 | RECOVERY | sharp=37 L2=17 MAX_INTERVAL NEW_DET RECOVERY: match_failed: condition number too large: 560900.2 LOST | match_err=match_failed: condition number too large: 560900.2
F0096 | RECOVERY | sharp=36 MAX_INTERVAL RECOVERY: match_failed: condition number too large: 3048123.8 LOST | match_err=match_failed: condition number too large: 3048123.8
F0097 | RECOVERY | sharp=38 MAX_INTERVAL RECOVERY: match_failed: condition number too large: 344020.4 LOST | match_err=match_failed: condition number too large: 344020.4
F0098 | RECOVERY | sharp=38 L2=16 MAX_INTERVAL NEW_DET RECOVERY: match_failed: condition number too large: 220588.5 LOST | match_err=match_failed: condition number too large: 220588.5
F0099 | RECOVERY | sharp=38 MAX_INTERVAL RECOVERY: match_failed: condition number too large: 2369992.1 LOST | match_err=match_failed: condition number too large: 2369992.1
F0100 | RECOVERY | sharp=37 MAX_INTERVAL RECOVERY: match_failed: condition number too large: 1639882.5 LOST | match_err=match_failed: condition number too large: 1639882.5
F0101 | RECOVERY | sharp=37 L2=20 MAX_INTERVAL NEW_DET RECOVERY: match_failed: condition number too large: 199200.2 LOST | match_err=match_failed: condition number too large: 199200.2
F0102 | RECOVERY | sharp=38 MAX_INTERVAL RECOVERY: match_failed: quality thresholds not met LOST | match_err=match_failed: quality thresholds not met
F0103 | RECOVERY | sharp=38 MAX_INTERVAL RECOVERY: match_failed: condition number too large: 1149363.4 LOST | match_err=match_failed: condition number too large: 1149363.4
F0104 | RECOVERY | sharp=39 L2=18 MAX_INTERVAL NEW_DET RECOVERY: match_failed: condition number too large: 528675.6 LOST | match_err=match_failed: condition number too large: 528675.6
F0105 | RECOVERY | sharp=40 MAX_INTERVAL RECOVERY: match_failed: condition number too large: 422382.5 LOST | match_err=match_failed: condition number too large: 422382.5
F0106 | RECOVERY | sharp=40 MAX_INTERVAL RECOVERY: match_failed: condition number too large: 6402725.1 LOST | match_err=match_failed: condition number too large: 6402725.1
F0107 | RECOVERY | sharp=40 L2=22 MAX_INTERVAL NEW_DET RECOVERY: match_failed: condition number too large: 56025857.6 LOST | match_err=match_failed: condition number too large: 56025857.6
F0108 | RECOVERY | sharp=39 MAX_INTERVAL RECOVERY: match_failed: condition number too large: 1035687.2 LOST | match_err=match_failed: condition number too large: 1035687.2
F0109 | RECOVERY | sharp=37 MAX_INTERVAL RECOVERY: match_failed: condition number too large: 129232.7 LOST | match_err=match_failed: condition number too large: 129232.7
F0110 | RECOVERY | sharp=39 L2=19 MAX_INTERVAL NEW_DET RECOVERY: match_failed: condition number too large: 1119386.0 LOST | match_err=match_failed: condition number too large: 1119386.0
